Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades
2018-05-31,3514.1,1734.0,1759.05,1726.1,1748.85,1741.05,1742.44,5049371,8798250473.7,207998
2018-06-01,1741.05,1754.0,1757.5,1716.3,1732.0,1732.45,1742.29,1603856,2794386298.35,74272
2018-06-04,1732.45,1745.0,1749.0,1712.6,1742.0,1744.25,1730.25,1681483,2909393689.7,96686
2018-06-05,1744.25,1744.0,1751.9,1711.15,1723.0,1721.6,1728.88,2449568,4235000687.9,133067
2018-06-06,1721.6,1723.0,1734.9,1715.2,1725.0,1725.75,1725.85,2236512,3859874684.1,73770
2018-06-07,1725.75,1725.0,1749.0,1723.8,1734.05,1735.55,1738.0,2414762,4196845765.2,105531
2018-06-08,1735.55,1735.0,1757.3,1735.0,1742.95,1747.1,1748.59,2582138,4515097488.7,90908
2018-06-11,1747.1,1747.1,1763.0,1743.0,1750.9,1749.7,1752.55,2179378,3819463189.45,104681
2018-06-12,1749.7,1757.0,1785.0,1753.0,1781.05,1781.0,1773.52,4608875,8173948345.1,108707
2018-06-13,1781.0,1816.0,1831.65,1798.0,1824.0,1824.1,1818.17,5370983,9765380711.8,236378
2018-06-14,1824.1,1830.0,1832.3,1784.0,1784.95,1787.55,1795.49,3819998,6858771088.2,185231
2018-06-15,1787.55,1800.0,1847.1,1788.6,1840.0,1840.05,1823.42,9183574,16745544383.35,232555
2018-06-18,1840.05,1867.95,1867.95,1822.15,1824.0,1829.0,1840.85,4674987,8605956299.9,212032
2018-06-19,1829.0,1822.15,1839.0,1821.0,1822.9,1824.5,1829.83,3245034,5937862115.25,139033
2018-06-20,1824.5,1832.0,1836.3,1818.6,1820.0,1822.45,1828.68,3107695,5682968753.9,151059
2018-06-21,1822.45,1832.0,1832.0,1817.6,1820.0,1819.35,1822.83,2910659,5305644225.8,130989
2018-06-22,1819.35,1827.0,1827.0,1799.55,1809.0,1809.8,1810.38,2949458,5339626532.7,225703
2018-06-25,1809.8,1811.9,1822.35,1806.0,1817.75,1819.25,1817.52,2083217,3786278981.15,115086
2018-06-26,1819.25,1823.0,1861.0,1821.0,1852.05,1852.0,1842.52,4679712,8622455574.95,160270
2018-06-27,1852.0,1860.0,1885.15,1851.25,1857.5,1858.0,1870.51,4081208,7633922937.85,163411
2018-06-28,1858.0,1865.0,1871.0,1826.3,1844.1,1842.7,1846.23,4888125,9024622355.45,176902
2018-06-29,1842.7,1844.9,1867.4,1842.3,1844.95,1847.75,1851.25,3506276,6490978437.6,213525
2018-07-02,1847.75,1852.0,1857.8,1841.1,1854.05,1851.35,1852.0,2650290,4908342579.9,137325
2018-07-03,1851.35,1859.95,1879.9,1857.05,1874.25,1874.05,1872.16,3242233,6069985147.5,191297
2018-07-04,1874.05,1879.9,1879.9,1857.15,1867.0,1866.15,1863.61,2700614,5032886447.2,116958
2018-07-05,1866.15,1873.0,1887.5,1862.1,1883.8,1880.3,1874.33,2472571,4634408415.65,94620
2018-07-06,1880.3,1882.85,1921.0,1881.65,1917.75,1912.95,1907.65,3713781,7084608223.6,143673
2018-07-09,1912.95,1924.0,1924.4,1876.5,1884.2,1883.0,1888.15,6151747,11615411506.8,193730
2018-07-10,1883.0,1898.0,1898.9,1870.75,1876.05,1875.1,1881.79,5303302,9979704601.25,187687
2018-07-11,1875.1,1900.0,1998.0,1894.15,1970.0,1979.9,1951.99,22903802,44708105351.4,482657
2018-07-12,1979.9,1984.0,1990.9,1960.5,1973.0,1971.35,1972.52,6921701,13653172983.9,204057
2018-07-13,1971.35,1975.0,1997.9,1974.0,1977.6,1981.1,1986.23,4148185,8239240068.0,146909
2018-07-16,1981.1,1990.0,1996.0,1977.45,1988.85,1989.2,1988.74,2582159,5135235030.6,112338
2018-07-17,1989.2,1989.0,2009.0,1981.0,2000.0,2002.15,1994.6,3315492,6613072315.45,105130
2018-07-18,2002.15,2005.0,2011.7,1993.05,2000.0,2000.25,2000.88,2013869,4029511535.6,93022
2018-07-19,2000.25,2002.1,2010.45,1970.0,1986.0,1981.4,1984.27,1746318,3465172736.0,81270
2018-07-20,1981.4,1984.9,2000.0,1984.0,1998.1,1996.6,1993.61,1934995,3857631216.0,97910
2018-07-23,1996.6,2001.0,2009.95,1986.0,2001.1,2005.65,2005.83,2086201,4184572277.1,88812
2018-07-24,2005.65,2015.0,2015.0,1984.15,1996.45,1999.0,1998.52,2038423,4073820958.05,96571
